run_id,subject,session,band,fmin,fmax,channel_set,n_channels,win_sec,step_sec,time_center_s,acc_mean,n_trials,n_splits,elapsed_s,pipeline
15,1,7,delta,0.5,4.0,motor_17,17,1.5,0.2,1.55859375,0.4240963855421687,415,5,11.042239012000039,riem+svm_rbf_time_resolved
15,1,7,delta,0.5,4.0,motor_17,17,1.5,0.2,1.76171875,0.5108433734939759,415,5,11.042239012000039,riem+svm_rbf_time_resolved
15,1,7,delta,0.5,4.0,motor_17,17,1.5,0.2,1.96484375,0.5108433734939759,415,5,11.042239012000039,riem+svm_rbf_time_resolved
16,1,7,delta,0.5,4.0,motor_17,17,2.0,0.2,0.99609375,0.6168674698795181,415,5,6.385031368,riem+svm_rbf_time_resolved
16,1,7,delta,0.5,4.0,motor_17,17,2.0,0.2,1.19921875,0.6096385542168675,415,5,6.385031368,riem+svm_rbf_time_resolved
16,1,7,delta,0.5,4.0,motor_17,17,2.0,0.2,1.40234375,0.5927710843373494,415,5,6.385031368,riem+svm_rbf_time_resolved
16,1,7,delta,0.5,4.0,motor_17,17,2.0,0.2,1.60546875,0.5903614457831325,415,5,6.385031368,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,0.24609375,0.5662650602409638,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,0.44921875,0.5060240963855421,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,0.65234375,0.4337349397590361,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,0.85546875,0.3927710843373494,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,1.05859375,0.3301204819277109,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,1.26171875,0.29638554216867463,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,1.46484375,0.25783132530120484,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,1.66796875,0.2987951807228916,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,1.87109375,0.41445783132530123,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,2.07421875,0.48915662650602415,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,2.27734375,0.506024096385542,415,5,14.730025383999987,riem+svm_rbf_time_resolved
17,1,7,theta,4.0,8.0,non_motor,13,0.5,0.2,2.48046875,0.43614457831325293,415,5,14.730025383999987,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,0.49609375,0.5301204819277109,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,0.69921875,0.5469879518072289,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,0.90234375,0.4409638554216868,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,1.10546875,0.3349397590361446,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,1.30859375,0.363855421686747,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,1.51171875,0.33253012048192776,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,1.71484375,0.4554216867469879,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,1.91796875,0.46024096385542174,415,5,11.225236397000003,riem+svm_rbf_time_resolved
18,1,7,theta,4.0,8.0,non_motor,13,1.0,0.2,2.12109375,0.4843373493975903,415,5,11.225236397000003,riem+svm_rbf_time_resolved
19,1,7,theta,4.0,8.0,non_motor,13,1.5,0.2,0.74609375,0.5542168674698795,415,5,8.769463890999987,riem+svm_rbf_time_resolved
19,1,7,theta,4.0,8.0,non_motor,13,1.5,0.2,0.94921875,0.5228915662650602,415,5,8.769463890999987,riem+svm_rbf_time_resolved
19,1,7,theta,4.0,8.0,non_motor,13,1.5,0.2,1.15234375,0.45783132530120485,415,5,8.769463890999987,riem+svm_rbf_time_resolved
19,1,7,theta,4.0,8.0,non_motor,13,1.5,0.2,1.35546875,0.4048192771084338,415,5,8.769463890999987,riem+svm_rbf_time_resolved
19,1,7,theta,4.0,8.0,non_motor,13,1.5,0.2,1.55859375,0.47228915662650606,415,5,8.769463890999987,riem+svm_rbf_time_resolved
19,1,7,theta,4.0,8.0,non_motor,13,1.5,0.2,1.76171875,0.48192771084337344,415,5,8.769463890999987,riem+svm_rbf_time_resolved
19,1,7,theta,4.0,8.0,non_motor,13,1.5,0.2,1.96484375,0.5060240963855421,415,5,8.769463890999987,riem+svm_rbf_time_resolved
20,1,7,theta,4.0,8.0,non_motor,13,2.0,0.2,0.99609375,0.5469879518072289,415,5,5.370271062000029,riem+svm_rbf_time_resolved
20,1,7,theta,4.0,8.0,non_motor,13,2.0,0.2,1.19921875,0.5325301204819277,415,5,5.370271062000029,riem+svm_rbf_time_resolved
20,1,7,theta,4.0,8.0,non_motor,13,2.0,0.2,1.40234375,0.5012048192771085,415,5,5.370271062000029,riem+svm_rbf_time_resolved
20,1,7,theta,4.0,8.0,non_motor,13,2.0,0.2,1.60546875,0.5132530120481927,415,5,5.370271062000029,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,0.24609375,0.41445783132530123,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,0.44921875,0.4048192771084337,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,0.65234375,0.37590361445783127,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,0.85546875,0.26987951807228916,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,1.05859375,0.3012048192771084,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,1.26171875,0.27469879518072293,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,1.46484375,0.2506024096385542,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,1.66796875,0.27710843373493976,415,5,18.736043204999987,riem+svm_rbf_time_resolved
21,1,7,theta,4.0,8.0,motor_17,17,0.5,0.2,1.87109375,0.26506024096385544,415,5,18.736043204999987,riem+svm_rbf_time_resolved
